Z200;AFGHANISTAN
Z300;AFRICA SUD-OVEST
Z100;ALBANIA
Z301;ALGERIA
Z354;ALTO VOLTA
Z101;ANDORRA
Z302;ANGOLA
Z500;ANTILLE BRITANNICHE
Z501;ANTILLE OLANDESI
Z203;ARABIA SAUDITA
Z600;ARGENTINA
Z700;AUSTRALIA
Z102;AUSTRIA
Z502;BAHAMAS
Z204;BAHREIN
Z303;BASUTOLAND
Z304;BECIUANIA
Z103;BELGIO
Z400;BERMUDE
Z205;BHUTAN
Z206;BIRMANIA
Z601;BOLIVIA
Z602;BRASILE
Z207;BRUNEI
Z104;BULGARIA
Z305;BURUNDI
Z208;CAMBOGIA
Z401;CANADA
Z517;CANALE DI PANAMA
Z307;CAPO VERDE
Z105;CECOSLOVACCHIA
Z209;CEYLON
Z309;CIAD
Z603;CILE
Z210;CINA
Z211;CIPRO
Z106;CITTA`DEL VATICANO
Z604;COLOMBIA
Z311;CONGO
Z312;CONGO LEOPODVILLE
Z214;COREA DEL NORD
Z213;COREA DEL SUD
Z313;COSTA D'AVORIO
Z215;COSTA DEI PIRATI
Z503;COSTA RICA
Z504;CUBA
Z314;DAHOMEY
Z107;DANIMARCA
Z605;ECUADOR
Z336;EGITTO
Z506;EL SALVADOR
Z315;ETIOPIA
Z108;FAER OER
Z201;FED. ARABIA MERID.
Z216;FILIPPINE
Z109;FINLANDIA
Z217;FORMOSA
Z110;FRANCIA
Z316;GABON
Z317;GAMBIA
Z218;GAZA
Z111;GERMANIA EST
Z112;GERMANIA OVEST
Z318;GHANA
Z507;GIAMAICA
Z219;GIAPPONE
Z113;GIBILTERRA
Z220;GIORDANIA
Z114;GRAN BRETAGNA
Z115;GRECIA
Z402;GROENLANDIA
Z508;GUADALUPA
Z509;GUATEMALA
Z606;GUAYANA BRITANNICA
Z607;GUAYANA FRANCESE
Z608;GUAYANA OLANDESE
Z319;GUINEA
Z320;GUINEA PORTOGHESE
Z321;GUINEA SPAGNOLA
Z510;HAITI
Z511;HONDURAS
Z512;HONDURAS BRITANNICO
Z221;HONG KONG
Z323;IFNI
Z222;INDIA
Z223;INDONESIA
Z224;IRAN
Z225;IRAQ
Z707;IRIAN OCC.
Z116;IRLANDA
Z114;IRLANDA DEL NORD
Z117;ISLANDA
Z721;ISOLA DI PASQUA
Z701;ISOLE CAROLINE
Z702;ISOLE CHRISTMAS
Z212;ISOLE COCOS
Z310;ISOLE COMORE
Z703;ISOLE COOK
Z609;ISOLE FALKLAND
Z704;ISOLE FIGI
Z705;ISOLE GILBERT
Z706;ISOLE GUAM
Z708;ISOLE MACQUARIE
Z709;ISOLE MARCUS
Z710;ISOLE MARIANNE
Z711;ISOLE MARSHALL
Z332;ISOLE MAURIZIO
Z712;ISOLE MIDWAY
Z713;ISOLE NAURU
Z715;ISOLE NORFOLK
Z124;ISOLE NORMANNE
Z324;ISOLE REUNION
Z238;ISOLE RYUKYU
Z724;ISOLE SALOMONE
Z714;ISOLE SAVAGE
Z342;ISOLE SEICELLE
Z728;ISOLE TONGA
Z520;ISOLE VERGINI
Z729;ISOLE WALLIS
Z226;ISRAELE
Z118;JUGOSLAVIA
Z322;KENYA
Z227;KUWAIT
Z228;LAOS
Z229;LIBANO
Z325;LIBERIA
Z326;LIBIA
Z119;LIECHTENSTEIN
Z120;LUSSEMBURGO
Z231;MACAO
Z327;MADAGASCAR
Z328;MALAWI
Z232;MALDIVE
Z230;MALESIA
Z329;MALI
Z121;MALTA
Z122;MAN
Z330;MAROCCO
Z513;MARTINICA
Z331;MAURITANIA
Z514;MESSICO
Z123;MONACO
Z233;MONGOLIA
Z333;MOZAMBICO
Z234;NEPAL
Z515;NICARAGUA
Z334;NIGER
Z335;NIGERIA
Z125;NORVEGIA
Z716;NUOVA CALEDONIA
Z718;NUOVA GUINEA
Z719;NUOVA ZELANDA
Z717;NUOVE EBRIDI
Z235;OMAN
Z126;PAESI BASSI
Z236;PAKISTAN
Z516;PANAMA
Z720;PAPUASIA
Z610;PARAGUAY
Z611;PERU`
Z722;PITCAIRN
Z723;POLINESIA
Z127;POLONIA
Z128;PORTOGALLO
Z202;PROT. ARABIA MERID.
Z518;PUERTO RICO
Z237;QATAR
Z308;REP. CENTRAFRICANA
Z505;REP. DOMINICANA
Z347;REP. SUDAFRICANA
Z337;RHODESIA
Z129;ROMANIA
Z338;RUANDA
Z339;SAHARA SPAGNOLO
Z403;SAINT PIERRE
Z725;SAMOA AMERICANE
Z726;SAMOA OCCIDENTALI
Z130;SAN MARINO
Z340;SANT'ELENA
Z341;SAO TOME`
Z343;SENEGAL
Z344;SIERRA LEONE
Z239;SIKKIM
Z230;SINGAPORE
Z240;SIRIA
Z345;SOMALIA
Z346;SOMALIA FRANCESE
Z131;SPAGNA
Z404;STATI UNITI
Z348;SUDAN
Z132;SVEZIA
Z133;SVIZZERA
Z349;SWAZILAND
Z350;TANGANICA
Z241;THAILANDIA
Z242;TIMOR
Z351;TOGO
Z727;TOKELAU
Z612;TRINIDAD
Z352;TUNISIA
Z243;TURCHIA
Z519;TURKS E CAICOS
Z353;UGANDA
Z134;UNGHERIA
Z135;UNIONE SOVIETICA
Z613;URUGUAY
Z614;VENEZUELA
Z245;VIETNAM DEL NORD
Z244;VIETNAM DEL SUD
Z246;YEMEN
Z355;ZAMBIA
Z356;ZANZIBAR
